536753.04,7358826.48,142.91
536753.04,7358826.38,143.98
536753.05,7358826.23,144.94
536753.05,7358826.34,145.76
536753.61,7358826.42,141.94
536753.44,7358826.15,142.52
536754.09,7358825.35,142.00
536753.56,7358825.63,142.99
536753.32,7358826.07,145.28
536753.43,7358825.47,143.82
536753.34,7358825.69,144.84
536756.31,7358825.28,144.96
536753.88,7358824.82,143.29
536754.59,7358824.38,141.88
536754.33,7358824.19,142.79
536754.94,7358823.69,142.09
536754.78,7358823.44,142.88
536753.72,7358824.65,143.94
536753.64,7358824.48,145.16
536753.95,7358823.61,144.40
536753.95,7358823.59,144.95
536754.39,7358823.13,143.88
536754.23,7358822.97,144.86
536755.45,7358823.35,141.92
536755.39,7358823.14,142.98
536755.97,7358822.81,142.22
536756.47,7358823.01,143.03
536756.44,7358824.14,143.83
536756.71,7358824.19,145.15
536755.43,7358822.89,143.61
536756.42,7358823.32,143.88
536756.53,7358823.46,144.76
536753.62,7358826.88,147.25
536755.23,7358826.81,146.83
536753.32,7358825.95,145.74
536753.66,7358825.43,147.09
536753.98,7358826.90,147.46
536754.08,7358825.24,147.54
536754.46,7358825.07,147.60
536755.99,7358826.25,146.39
536756.28,7358825.76,145.87
536756.47,7358825.20,145.91
536756.50,7358825.13,147.02
536756.22,7358826.52,147.50
536756.78,7358826.23,147.77
536756.86,7358825.32,147.61
536753.69,7358824.44,145.99
536753.78,7358824.55,146.73
536754.39,7358824.23,147.10
536753.94,7358823.68,145.81
536754.27,7358823.19,146.19
536754.60,7358823.47,146.82
536754.68,7358824.58,147.51
536755.39,7358823.94,147.21
536756.81,7358824.36,145.92
536756.89,7358824.56,146.95
536755.31,7358823.23,146.98
536756.07,7358822.90,145.81
536756.09,7358823.22,146.62
536755.11,7358824.50,147.46
536754.64,7358822.67,144.11
536754.59,7358822.39,144.94
536756.39,7358822.52,141.84
536756.38,7358822.64,142.79
536755.31,7358822.66,144.07
536755.38,7358822.27,144.87
536756.01,7358822.70,143.82
536755.99,7358822.43,144.92
536754.57,7358822.36,145.85
536754.73,7358822.63,146.53
536755.39,7358822.05,145.90
536755.39,7358822.39,146.67
536756.09,7358822.56,145.96
536755.97,7358822.63,146.54
536765.40,7358874.53,133.31
536767.50,7358876.00,133.48
536767.04,7358875.10,133.45
536767.34,7358875.59,133.30
536766.53,7358874.57,133.43
536767.51,7358874.49,133.33
